address,amount
0x631bbd1d311779f87548be073923c410bbe1d375,34061.55
0xE047776aC80Ecf9ad6c8412719958925635Eca8a,86220.70
0xE7442Aa28b2fE1C8f46AD99F18d9aC2b5bEe83f8,28417.20
0x7270c83006cEf8717b24Ac980455ef5b1fa28051,15995.26
0x1d6dB5d4C5B87880039D60fB75b2E53d49f73081,37325.86
0xFFDd5DBfDE2049F2f5200845fFD6B9a5d70AFA6b,45433.96
0x70a8A9C0b0753E36bA7607e495131f2CD6017090,46959.69
0xcABef3Cef65C09cdA2A0c948A39dBd7Aa25f1879,15995.26
0x2f3222826F807b9C567b2b8bFb2077B54Fdd197f,17845.34
0x87CBa589B605C58c1D64De3A0BdE0d9Bf5210Cd4,66756.90
0xfC32FbeAD73a0Bb5ECA66E66D88983c24CC7331f,15995.26
0x9eAEfA930B6C94398Cd82CD3B695fB5EdDa3155A,9958.18
0xc62342aEb4DC44013e8Cbf993cB4dfbe7B312F48,25953.44
0xEC72a989Dd9e568D3De2C9cb2e11BffEc985f725,124613.97
0x3a23Bd7b03Ec26dfE8BfCDA0D570886697FEf20f,173371.56
0xC0b0B98E52A6ecF500CadddC9032a2FaEe14ca79,15995.26
0x0d93ebfAa7D144bB2e44B5730F8Bf6831dE26C6F,6687375.37
0xF8599f82E18bb8e4688b459EC51D3c8AEF7724AB,6531660.42
0xf973C6Fa8e7EDf632ABc6b0Add9826a5A20df1a1,32211.48
0xcF4A4f9DcDD71459Ebe8fF8b1D8a4709382eA07A,69383.15
0xd46f316436DFB61643E04cc324471568f2318362,26567.12
0xbC3F81b68eA8e6BE726E2800BD7545E53e119B27,24324.32
0xFFC6a71eba69486abB0a3889Ec1ce218Ebe175cc,15995.26
0x806FC11Dc8e08995F2Db840908a6FC4C81215380,37061.56
0x3F76a6E44C021E3cdF11ec3342567BB48C4fdDb1,138279.45
0xc10ce5620C3761642909C785766f80E4a5eb4Ed1,119257.76
0x6131f6D7aDE8c157723b3926E42D9f2e29630853,221311.48
0xc89012ea1ab9e27ffb096b5ce8c030e4a4bb880a,209259.32
0xC754B8429318fF800C938f3E2c8d7148e237761F,6130033.87
0xc49dB8e477a5c4D3B60c4838aA90adF31B6451Cd,206817.32
0xbF5390f50E539AB5cF2c3Fc3a704e0D859981113,88863.67
0x8Fdb54aEf7A94E2f3A95905fC8B8C6f2c7cd65fC,97321.16
0x09c35e52D232b3A623D502D7c8a4c3945073b55C,431796.77
0xfe12dAe33E8B47902eC425c21F6738C6fCfF26d2,17845.34
0xDEA88bCc914Bc69a060fE19773bA523379eB72f9,58811.29
0x6aFC65212FB036e4760B4880a004A505a57951E1,52041.38
0xBf7dAf1eea70eFF6fFCBc7c4657d5eBEBccFb1cE,15995.26
0x10A9cb54a4420dBB35f328A67d66755f7A92A4B6,540214.00
0x231d52b7aa37def22b3e104ff91e7c98f3b06fe3,70362.92
0x09565d54f3D6850B161D4b7e9a411473d3CB47A9,15995.26
0x4c88e567d8ae0db5b5427937de6e290c57aa22c5,15995.26
0x1741253ab4462B35c63c6b0a1aF25E661A115C91,360640.96
0xE60b4a3dBad9D73264b6Eb02daf6ba0AA697EcCB,15995.26
0x63a4f5CAa4b02E42fCA66dD092D763130Ae0131d,15995.26
0x7e983B46AefFb5843F600c2A317497d7791E8b26,24103.37
0xEC38673f302312fAEc6bdA9536e2Ee7f4b1c1742,32560.86
0x1288fcFb218b629E5498C1f5D1C63dd71FCB57f7,17009.11
0x85fBc5e3E09075E3AC76BF955fa22BF8a794A6a1,17581.04
0x026A4c71c878308Ee707F277937dFBb686E71442,15995.26
0x3DC73A3D1c692Cdf6479aD0455D559e241a4c3b0,49219.20
0x36fE60D508C0E362D3c11B0644DFa1EB0327d954,237306.74
0x0793EFb0b2597D9da51D74780f1264663437ab28,17845.34
0x1cdACF5531FA945c384e01B743B16dC3AC515E6A,384178.16
0xE9BCD4Df835456B002E48C2f278c14707E19098a,6000000.00
0x763b4E27980C4f8BFaf949410B1135080317D6d5,237306.74
0x86B04452ceCBB25a0CE357cC55e82DAA8A9f111F,217404.67
0xCba7Ab940B6B4efED458Cb2E0c01aca1C789A068,124107.82
0x917416Fb359B7c44f28bEacbb1d21d130d27348E,478098.73
0x4172EFe62223684405e8C0c3e51A6Da9d39162D0,36797.26
0x26c4775194a2BEFf4ca4750500FbED1888A44D92,36268.67
0x9A19810B2A4c9D1ec5a266a0bC7F694e1674C214,17052.45
0x521d5668381a5f986ab04f3b31b7b54397411aff,164529.88
0x74A326751079b35e2C5687F2C1DC11736575Cc51,221311.48
0x066ee59755990F534e0f767fe46d5F620359cecB,68129.17
0x2EC03a6487bbE40c82C74482575abD18A6d0adD7,17052.45
0xC869561C1C9d954868492f6a5292B551cF119cb5,19480.52
0xa02f255E5C0b9e28c909f7793d3dCf28814Bd448,253693.12
0x3ceB193f4E249fbAc4660936C2Dfb4aab9A15340,136711.77
0x31049b3ec2C37a4bA7C94cf63e13Bc15F8F9504b,459411.10
0xb54Dd0d08C87fb24E1A4f930D79567CDce051385,98926.42
0xA8EEAC6CDEEFc3dE23eAe28D23da6589d7466886,232411.93
0x803B1f04cA9A8Ad995e5508f0eEfc7f723961b2B,6247441.56
0x27eAB7392BE4B43FbD57967137e782054AF3DdE1,5284888.32
0xff8c5bC6d258c8Cb4059c76E7160646B076f2141,36268.67
0x95F8DaAd112390e3fb9bdB901dCd641d3eD55f58,16788.15
0xbeaa6e26461f7c0f019772402de3726112950732,17845.34
0xBEdB5dB15Da1A6ee27B2e3a0294D7Be7Fc00BE8f,55826.61
0x1b4D08eAaf18983F55a0C5b88B47580F52110b0c,29438.70
0xEC7Af3bD0139C98BfE379dc7cE89512c2b769eb2,1076203.44
0x8456bdCCa3Ddcf2990b3fF3821bf02235387bA4c,8108.11
0xDA21CFF5259f5ab5Cc0F4299D4835976cF477230,35475.78
0x9C57f2f8c813999757df7891E2278BDb759E6E9f,21809.78
0x2C6C700B3b36ef11bBFC51569B96e25bed7D7882,44641.07
0x88a9F01D18dd6BAAFc86603f05549E57cf2E5A6D,15995.26
0x429c4Cdd4e162B65e78c9D6Bbe8917Afc8ee5Dd8,132773.08
0x805317cffd6f951f41347b86a03f5db9627aacd9,338714.32
0xFf70AA3ee6b1A8F2aa5444ED4F8441A46D978EcA,368886.54
0x12cdC0736304A5f2F4f9DD5a032CB5bC9AB80362,48768.02
0xd4F77F8D419Df2415B8802E292C793326c0A0494,63671.81
0xea20519c7e89987070bb66d018bc8e14f352261d,17845.34
0x61d3b2773969E9DD31e0146733B36EdD06473b21,15995.26
0x25e9f51B592fD86318295A9B8EC0Dc45eE073b42,17845.34
0xcE4bb6733cb2F22687ab00AAA04fc9101929C39d,221311.48
0x7BA5ec9317b7a0C9dd81C4826B79Af6e62C36c30,15995.26
0x05e5e4fC54605c4C2aFCb9ecF23c4f1bBa0e77eA,537077.59
0xdC92475dD805Ce07Bf57bA5d5812444FBF7AE28b,15995.26
0x905bbF219c30017E7b480AF67bb5C6eafa7123Aa,375625.35
0xf42638C226289E10F9A54b79C236CF71add6F16f,15995.26
0xD3B744D2715b75A829046139D07497775883E34f,15995.26
0x177DC10b963243c6e8d4434192319231317d062c57C5,35475.78
0x2C5aea373097D040b33661F6D0e032f40745FE05,114192.98
0x0034B313e1014F7c3286432625587FdC55720496,78717.20
0xf849F5D18A5735D0670B84C9D0e60618F33e1c95,116043.06
0xc4393098f5F6bF41200B92B6c009eb7C1741cf47,69579.07
0x9d91045e5856Fafa92D5614f002Fc46e9014F847,15995.26
